Elapsed time;qo;Qo
(hr);(m3/D);(m3)
2301;12,90626676;1445,015652
2304;12,89549706;1446,627589
2307;12,88880015;1448,238689
2310;12,88880015;1449,849789
2313;12,88880015;1451,460889
2316;12,88880015;1453,071989
2319;12,88880015;1454,683089
2322;12,88880015;1456,294189
2325;12,88880015;1457,905289
2328;12,88388959;1459,515775
2331;12,87156536;1461,124721
2334;12,87156536;1462,733666
2337;12,87156536;1464,342612
2340;12,87156536;1465,951558
2343;12,87156536;1467,560503
2346;12,87156536;1469,169449
2349;12,87156536;1470,778395
2352;12,87156536;1472,38734
2355;12,85535191;1473,994259
2358;12,85455685;1475,601079
2361;12,85455685;1477,207899
2364;12,85455685;1478,814718
2367;12,85455685;1480,421538
2370;12,85455685;1482,028357
2373;12,85455685;1483,635177
2376;12,85455685;1485,241997
2379;12,84412189;1486,847512
2382;12,83776926;1488,452233
2385;12,83776926;1490,056954
2388;12,83776926;1491,661675
2391;12,83776926;1493,266396
2394;12,83776926;1494,871118
2397;12,83776926;1496,475839
2400;12,83776926;1498,08056
2403;12,83296473;1499,684681
2406;12,82119741;1501,28733
2409;12,82119741;1502,88998
2412;12,82119741;1504,49263
2415;12,82119741;1506,095279
2418;12,82119741;1507,697929
2421;12,82119741;1509,300579
2424;12,82119741;1510,903228
2427;12,82119741;1512,505878
2430;12,80551929;1514,106568
2433;12,80483629;1515,707172
2436;12,80483629;1517,307777
2439;12,80483629;1518,908381
2442;12,80483629;1520,508986
2445;12,80483629;1522,109591
2448;12,80483629;1523,710195
2451;12,80483629;1525,3108
2454;12,79471362;1526,910139
2457;12,78868107;1528,508724
2460;12,78868107;1530,107309
2463;12,78868107;1531,705894
2466;12,78868107;1533,304479
2469;12,78868107;1534,903064
2472;12,78868107;1536,50165
2475;12,78868107;1538,100235
2478;12,78397589;1539,698232
2481;12,77272707;1541,294823
2484;12,77272707;1542,891413
2487;12,77272707;1544,488004
2490;12,77272707;1546,084595
2493;12,77272707;1547,681186
2496;12,77272707;1549,277777
2499;12,77272707;1550,874368
2502;12,77272707;1552,470959
2505;12,75754877;1554,065652
2508;12,75696976;1555,660274
2511;12,75696976;1557,254895
2514;12,75696976;1558,849516
2517;12,75696976;1560,444137
2520;12,75696976;1562,038758
2523;12,75696976;1563,63338
2526;12,75696976;1565,228001
2529;12,7471391;1566,821393
2532;12,74140477;1568,414069
2535;12,74140477;1570,006745
2538;12,74140477;1571,59942
2541;12,74140477;1573,192096
2544;12,74140477;1574,784771
2547;12,74140477;1576,377447
2550;12,74140477;1577,970122
2553;12,73679291;1579,562222
2556;12,72602787;1581,152975
2559;12,72602787;1582,743729
2562;12,72602787;1584,334482
2565;12,72602787;1585,925236
2568;12,72602787;1587,515989
2571;12,72602787;1589,106743
2574;12,72602787;1590,697496
2577;12,72602787;1592,288249
2580;12,71131726;1593,877164
2583;12,71083495;1595,466018
2586;12,71083495;1597,054873
2589;12,71083495;1598,643727
2592;12,71083495;1600,232582
2595;12,71083495;1601,821436
2598;12,71083495;1603,41029
2601;12,71083495;1604,999145
2604;12,70127791;1606,586804
2607;12,69582203;1608,173782
2610;12,69582203;1609,76076
2613;12,69582203;1611,347738
2616;12,69582203;1612,934715
2619;12,69582203;1614,521693
2622;12,69582203;1616,108671
2625;12,69582203;1617,695649
2628;12,69129798;1619,282061
2631;12,68098525;1620,867184
2634;12,68098525;1622,452307
2637;12,68098525;1624,03743
2640;12,68098525;1625,622554
2643;12,68098525;1627,207677
2646;12,68098525;1628,7928
2649;12,68098525;1630,377923
2652;12,68098525;1631,963046
2655;12,66671307;1633,546385
2658;12,66632087;1635,129675
2661;12,66632087;1636,712966
2664;12,66632087;1638,296256
2667;12,66632087;1639,879546
2670;12,66632087;1641,462836
2673;12,66632087;1643,046126
2676;12,66632087;1644,629416
2679;12,65702067;1646,211544
2682;12,65182528;1647,793022
2685;12,65182528;1649,3745
2688;12,65182528;1650,955978
2691;12,65182528;1652,537456
2694;12,65182528;1654,118934
2697;12,65182528;1655,700413
2700;12,65182528;1657,281891
2703;12,64738401;1658,862814
2706;12,63749497;1660,442501
2709;12,63749497;1662,022188
2712;12,63749497;1663,601874
2715;12,63749497;1665,181561
2718;12,63749497;1666,761248
2721;12,63749497;1668,340935
2724;12,63749497;1669,920622
2727;12,63749497;1671,500309
2730;12,62363462;1673,078263
2733;12,62332653;1674,656179
2736;12,62332653;1676,234095
2739;12,62332653;1677,812011
2742;12,62332653;1679,389926
2745;12,62332653;1680,967842
2748;12,62332653;1682,545758
2751;12,62332653;1684,123674
2754;12,61426791;1685,700457
2757;12,60931665;1687,276622
2760;12,60931665;1688,852786
2763;12,60931665;1690,428951
2766;12,60931665;1692,005116
2769;12,60931665;1693,58128
2772;12,60931665;1695,157445
2775;12,60931665;1696,733609
2778;12,60495356;1698,309229
2781;12,59546213;1699,883661
2784;12,59546213;1701,458094
2787;12,59546213;1703,032527
2790;12,59546213;1704,60696
2793;12,59546213;1706,181392
2796;12,59546213;1707,755825
2799;12,59546213;1709,330258
2802;12,59546213;1710,904691
2805;12,5819893;1712,477439
2808;12,58175985;1714,050159
2811;12,58175985;1715,622879
2814;12,58175985;1717,195599
2817;12,58175985;1718,768319
2820;12,58175985;1720,341039
2823;12,58175985;1721,913759
2826;12,58175985;1723,486479
2829;12,57292883;1725,058095
2832;12,56820678;1726,629121
2835;12,56820678;1728,200147
2838;12,56820678;1729,771173
2841;12,56820678;1731,342199
2844;12,56820678;1732,913225
2847;12,56820678;1734,48425
2850;12,56820678;1736,055276
2853;12,56391766;1737,625766
2856;12,55479998;1739,195116
2859;12,55479998;1740,764466
2862;12,55479998;1742,333816
2865;12,55479998;1743,903166
2868;12,55479998;1745,472516
2871;12,55479998;1747,041866
2874;12,55479998;1748,611216
2877;12,55479998;1750,180566
2880;12,54169237;1751,748278
2883;12,54153659;1753,31597
2886;12,54153659;1754,883662
2889;12,54153659;1756,451354
2892;12,54153659;1758,019046
2895;12,54153659;1759,586738
2898;12,54153659;1761,15443
2901;12,54153659;1762,722122
2904;12,53292035;1764,288737
2907;12,52841384;1765,854789
2910;12,52841384;1767,420841
2913;12,52841384;1768,986892
2916;12,52841384;1770,552944
2919;12,52841384;1772,118996
2922;12,52841384;1773,685047
2925;12,52841384;1775,251099
2928;12,52419479;1776,816624
2931;12,51542902;1778,381052
2934;12,51542902;1779,945481
2937;12,51542902;1781,509909
2940;12,51542902;1783,074338
2943;12,51542902;1784,638767
2946;12,51542902;1786,203195
2949;12,51542902;1787,767624
2952;12,51542902;1789,332053
2955;12,50266619;1790,894886
2958;12,50257952;1792,457708
2961;12,50257952;1794,020531
2964;12,50257952;1795,583353
2967;12,50257952;1797,146176
